Sample_ID,Truck_Mass_t,Vehicles_Per_Day,Steel_Yield_Strength_MPa,Stress_Amplitude_MPa,SN_Coefficient_C,SN_Exponent_m,Cycles_Per_Day
100,25.17,4292,351.3,110.89,9.3649E+11,3.036,8584
101,22.81,4163,347.1,84.4,1.22905E+12,2.6,8326
102,30.25,4211,310.5,95.9,9.30026E+11,3.034,8422
103,30.35,4180,391.5,101.8,9.09328E+11,3.134,8360
104,19.34,4204,394,132.22,1.17387E+12,3.254,8408
105,30.92,4157,361.2,92.94,1.12007E+12,3.223,8314
106,24.58,4239,400.5,120.46,6.7841E+11,2.975,8478
107,36.56,4243,358.2,93.34,9.77723E+11,3.037,8486
108,28.94,4248,350.4,60.74,1.13132E+12,3.305,8496
109,38.31,4272,347.9,101.65,1.1309E+12,3.101,8544
110,25.25,4197,350.2,88.81,9.14249E+11,3.023,8394
111,26.27,4219,366.7,91.84,9.66793E+11,2.999,8438
112,29.8,4135,376.9,95.94,1.3597E+12,3.016,8270
113,34.34,4258,362,101.45,9.4751E+11,2.8,8516
114,31.4,4300,350.1,94.01,1.0901E+12,3.371,8600
115,20.6,4282,361.4,82.54,1.0995E+12,3.297,8564
116,29.1,4146,346.9,80.82,1.09823E+12,3.261,8292
117,28.13,4175,317.9,102.1,9.13167E+11,3.094,8350
118,25.43,4124,344.3,81.02,9.0756E+11,3.397,8248
119,24.11,4219,365.2,98.87,1.00152E+12,3.352,8438
120,38.49,4195,357.9,72.95,1.0139E+12,3.049,8390
121,25.66,4187,384.5,78.45,1.04968E+12,2.878,8374
122,22.92,4208,344.6,107.27,1.11814E+12,3.123,8416
123,31.82,4189,381.4,89.89,8.11646E+11,2.934,8378
124,28.78,4243,357.1,84.87,8.19732E+11,3.212,8486
125,27.55,4262,360.9,73.83,1.11307E+12,3.187,8524
126,32.69,4290,388.2,92.68,1.0603E+12,2.979,8580
127,30.93,4261,330.8,82.08,8.18102E+11,2.869,8522
128,30.17,4182,335.5,112.07,8.12219E+11,2.852,8364
129,33.79,4179,386.8,75.41,1.27596E+12,2.801,8358
130,29.7,4203,381.6,87.41,7.63653E+11,3.462,8406
131,24.3,4249,373.4,96.5,8.98251E+11,3.169,8498
132,25.83,4183,339.7,101.9,1.09114E+12,2.748,8366
133,24.87,4179,292.2,91.4,7.88465E+11,2.738,8358
134,29.26,4125,330.8,117.63,8.75167E+11,3.053,8250
135,21.53,4036,316.4,81.27,9.65706E+11,2.464,8072
136,17.01,4229,370.8,120.93,1.242E+12,2.875,8458
137,28.53,4153,336.2,77.59,9.78878E+11,2.779,8306
138,19.98,4095,307.4,67.47,1.14444E+12,3.158,8190
139,16.29,4308,373.6,78.92,1.17359E+12,3.045,8616
140,30.24,4287,336.8,89.83,1.11214E+12,2.638,8574
141,23.73,4296,362.6,105.5,8.37707E+11,2.968,8592
142,30.98,4343,365.7,134.08,9.84523E+11,2.971,8686
143,24.81,4196,374.5,123.79,8.0192E+11,2.804,8392
144,21.27,4234,395.1,94.67,9.27636E+11,3.169,8468
145,20.54,4187,340.1,89.75,1.12623E+12,3.3,8374
146,24.91,4161,319.7,83.93,9.80081E+11,3.272,8322
147,26.36,4098,359.5,119.84,1.13912E+12,3.348,8196
148,23.06,4243,331.1,110.17,9.7522E+11,2.941,8486
149,26.31,4211,333.4,86.41,1.13345E+12,3.059,8422
150,18.78,4288,337.4,90.95,1.21411E+12,2.757,8576
151,28.09,4230,388.3,75.16,8.26025E+11,2.996,8460
152,17.24,4151,376.1,127.18,1.01504E+12,2.857,8302
153,26.84,4221,337.6,110.52,1.01083E+12,3.362,8442
154,32.18,4193,386.2,133.81,9.07051E+11,3.076,8386
155,34.55,4245,395.6,89.57,7.98177E+11,2.938,8490
156,38.29,4173,373.7,107.29,1.13784E+12,2.994,8346
157,18.66,4136,360,88.84,1.065E+12,3.293,8272
158,32.55,4173,371.4,96.83,1.04196E+12,2.869,8346
159,35.24,4309,350.3,106.91,9.89491E+11,3.138,8618
160,33.88,4152,339.1,116.79,9.64781E+11,2.93,8304
161,22.42,4191,353,86.32,8.90798E+11,3.219,8382
162,30.47,4201,346.8,73.89,9.30369E+11,2.707,8402
163,39.16,4299,352.3,111.4,1.00697E+12,2.765,8598
164,19.02,4182,373,91.65,1.08993E+12,3.284,8364
165,30.86,4244,376.3,83.03,1.09589E+12,2.973,8488
166,34.67,4252,338.2,81.54,7.9249E+11,2.699,8504
167,23.82,4138,388.6,77.99,9.56267E+11,3.047,8276
168,31.5,4115,328.5,95.77,8.53078E+11,2.986,8230
169,21.57,4334,345.9,58.69,8.42209E+11,3.001,8668
170,23.13,4119,359.4,71.79,1.13843E+12,2.892,8238
171,23.1,4183,344.1,81.3,9.48727E+11,3.064,8366
172,29.15,4197,382.2,77.79,1.20003E+12,2.969,8394
173,27.45,4216,307.3,79.26,9.60211E+11,3.362,8432
174,33.72,4235,411.4,138.1,1.2853E+12,2.997,8470
175,22.36,4224,329.7,109.1,8.55608E+11,3.169,8448
176,27.21,4168,372.1,90.93,8.92059E+11,2.647,8336
177,33.77,4282,386,104.24,9.83075E+11,2.892,8564
178,31.36,4097,320.8,83.38,9.48351E+11,2.607,8194
179,20.05,4273,357.9,131.86,1.06989E+12,3.208,8546
180,31.99,4281,374.7,75.55,6.38997E+11,3.272,8562
181,25.13,4105,322.5,65.98,1.27195E+12,2.999,8210
182,30.31,4171,332.9,108.55,1.06113E+12,3.144,8342
183,29.8,4253,363.1,83.72,1.17013E+12,2.851,8506
184,35.32,4195,326,89.22,8.66643E+11,2.725,8390
185,28.7,4292,354.4,79.85,1.23415E+12,3.207,8584
186,16.88,4259,341.9,74.67,7.32393E+11,2.969,8518
187,19.78,4096,357.4,79.53,1.0872E+12,2.918,8192
188,32.39,4167,330.8,78.94,1.28342E+12,2.727,8334
189,26.45,4242,301.7,83.45,1.01215E+12,2.967,8484
190,34.83,4287,333.2,121.28,1.06169E+12,2.864,8574
191,29.64,4186,357.8,88.45,1.14269E+12,2.811,8372
192,23.51,4207,355.3,94.34,1.12041E+12,2.795,8414
193,34.49,4144,360,95.19,1.04756E+12,2.784,8288
194,23.16,4190,328.1,91.15,7.49217E+11,3.124,8380
195,15.68,4214,302.9,105.21,6.89642E+11,3.251,8428
196,40.38,4200,357.1,114.25,9.90976E+11,3.415,8400
197,16.54,4191,351.3,109.21,1.04527E+12,3.108,8382
198,31.82,4167,358.4,100.42,1.16299E+12,3.072,8334
199,33.63,4177,321.7,83.23,1.01805E+12,3.184,8354
200,28.88,4180,354.7,114.13,9.63382E+11,3.02,8360
201,17.9,4106,331.3,68.89,1.18669E+12,3.122,8212
202,34.09,4141,405.8,124.74,1.0922E+12,2.824,8282
203,19.35,4239,314.7,85.01,9.53053E+11,3.178,8478
204,19.94,4294,379.9,108.09,1.03696E+12,3.078,8588
205,25.83,4188,325.6,89.66,9.61825E+11,2.66,8376
206,32.73,4201,352.7,86.74,9.37226E+11,3.001,8402
207,29.8,4200,355.2,100.67,1.12507E+12,3.001,8400
208,32.86,4202,372.3,78.1,9.27001E+11,2.882,8404
209,25.34,4135,376.8,73.17,1.00973E+12,2.881,8270
210,26.97,4196,359.4,94.17,1.10706E+12,3.076,8392
211,21.18,4182,330.4,122.97,9.54688E+11,2.988,8364
212,26.1,4214,357,94.29,1.14678E+12,2.977,8428
213,31.56,4167,352.9,109.24,1.33991E+12,2.664,8334
214,26.2,4245,339.2,66.92,7.81212E+11,3.362,8490
215,30.85,4231,351.9,131.89,1.06E+12,2.694,8462
216,24.56,4249,388.2,95.47,8.87951E+11,3.172,8498
217,24.45,4176,357.1,80.81,9.90878E+11,2.782,8352
218,28.24,4254,335.6,70.12,6.62935E+11,3.17,8508
219,26.83,4173,387.2,135.58,1.03896E+12,2.858,8346
220,31.55,4143,402.6,94.34,1.01615E+12,2.896,8286
221,29.07,4116,394.6,100.9,9.18834E+11,2.881,8232
222,38.44,4215,355.7,97.91,1.22833E+12,2.983,8430
223,26.68,4237,354.3,99.28,9.16333E+11,3.147,8474
224,26.64,4161,365.7,75.15,8.57966E+11,2.651,8322
225,21.76,4221,350.4,88.62,7.81975E+11,2.905,8442
226,28.14,4116,307.4,76.97,1.18205E+12,2.866,8232
227,32.1,4240,384,79.03,1.00978E+12,2.812,8480
228,23.56,4207,326.7,72.99,9.4012E+11,3.04,8414
229,27.7,4135,326,63.46,9.84679E+11,2.895,8270
230,32.31,4137,346.4,82.18,8.13042E+11,3.225,8274
231,27.24,4186,385.6,79.06,9.69293E+11,2.76,8372
232,24.89,4312,350.6,161.61,1.06812E+12,2.967,8624
233,33.84,4061,382.7,79.89,1.09679E+12,3.306,8122
234,28.58,4147,370.4,100.04,1.15662E+12,3.095,8294
235,30.38,4202,378.6,88.05,9.71606E+11,2.993,8404
236,35.03,4259,333.8,95.56,1.11334E+12,2.874,8518
237,34.87,4292,317.9,120.64,9.33214E+11,2.967,8584
238,25.92,4244,328.9,72,1.04138E+12,2.993,8488
239,24.85,4180,403.2,125.99,9.33913E+11,3.154,8360
240,29.71,4165,325,149.87,1.05382E+12,3.108,8330
241,27.2,4232,395.4,81.89,1.05881E+12,3.352,8464
242,16.6,4282,353.2,91.68,9.31031E+11,2.941,8564
243,35.65,4217,326.2,132.65,1.03769E+12,3.025,8434
244,28.12,4148,337.8,75.41,8.77799E+11,2.96,8296
245,32.42,4097,382.1,91.33,7.37096E+11,2.642,8194
246,20.96,4118,347.1,79.89,1.09836E+12,2.811,8236
247,35.73,4211,338.4,116.69,8.14093E+11,2.935,8422
248,24.47,4211,381.9,92.81,9.46768E+11,2.83,8422
249,27.35,4159,342.5,68.63,8.97766E+11,2.992,8318
250,19.59,4225,342.8,106.66,8.4156E+11,2.575,8450
251,27,4377,382.6,85.65,8.6548E+11,2.858,8754
252,26.62,4274,375.9,112.52,1.03686E+12,2.729,8548
253,26.89,4265,360.4,94.82,9.11879E+11,2.721,8530
254,30.63,4202,341.8,102,1.10578E+12,3.027,8404
255,28.36,4259,342.2,97.73,1.05856E+12,2.944,8518
256,33.85,4198,418.6,132.31,8.47758E+11,2.943,8396
257,25.19,4172,324.5,69.89,1.02803E+12,3.111,8344
258,22.02,4185,304.2,79.02,1.23766E+12,2.89,8370
259,27.89,4172,356.5,92.1,9.41889E+11,3.154,8344
260,31.77,4275,342.9,98.91,1.11804E+12,3.092,8550
261,35.47,4266,379.8,77.43,8.13777E+11,3.027,8532
262,32.88,4138,342.3,99.98,1.03986E+12,3.082,8276
263,17.41,4185,370.4,83.76,1.37685E+12,3.02,8370
264,30.26,4263,352.9,81.46,8.86873E+11,2.937,8526
265,36.76,4244,342.3,88.24,1.07295E+12,3.052,8488
266,28.38,4264,362.6,105.78,1.06537E+12,3.056,8528
267,24.9,4206,336.9,110.01,1.35938E+12,3.042,8412
268,29.85,4294,406.9,122.4,9.72693E+11,3.159,8588
269,24.98,4168,381.1,114.27,1.01986E+12,2.922,8336
270,31.83,4154,363.5,90.88,1.01851E+12,3.116,8308
271,27.92,4155,374.4,83.65,1.15122E+12,3.19,8310
272,36.36,4206,343.5,92.32,1.15617E+12,3.012,8412
273,31,4195,360,101.1,1.2925E+12,2.925,8390
274,23.66,4255,367.2,89.23,1.06263E+12,2.889,8510
275,31.63,4216,384.8,62.54,8.06464E+11,3.091,8432
276,33.62,4208,369.2,123.88,1.07894E+12,3.094,8416
277,24.59,3990,369.6,99.8,1.18555E+12,3.194,7980
278,25.45,4159,401.4,76.38,1.26735E+12,2.94,8318
279,14.17,4188,365.9,104.73,9.99566E+11,3.129,8376
280,33.42,4265,330.4,103.61,6.40481E+11,2.948,8530
281,24.47,4138,363.9,68.96,1.29233E+12,2.516,8276
282,15.27,4165,359.1,101.26,9.96392E+11,3.227,8330
283,17.39,4144,380.2,102.24,1.01241E+12,2.829,8288
284,26.66,4094,308.6,109.41,9.43246E+11,2.798,8188
285,32.56,4201,391.7,86.97,1.03029E+12,2.469,8402
286,27.47,4149,324.8,94.29,8.11693E+11,2.919,8298
287,30.83,4170,389.9,103.74,7.09034E+11,2.975,8340
288,21.39,4134,373.1,100.09,1.0116E+12,2.868,8268
289,19.95,4081,334.2,77.7,1.27401E+12,3.177,8162
290,33.31,4254,341.3,77.25,1.09173E+12,3.235,8508
291,30.95,4144,345.2,79.85,9.52893E+11,2.787,8288
292,27.82,4201,360.3,84.84,7.41924E+11,2.861,8402
293,35.69,4262,328.1,95.66,9.70304E+11,3.131,8524
294,22.29,4230,345.2,91.45,1.24347E+12,2.793,8460
295,25.48,4211,376.2,131.6,1.1616E+12,2.956,8422
296,34.16,4252,357.4,92.76,7.96496E+11,2.746,8504
297,39.03,4221,352.2,124.74,9.55861E+11,2.98,8442
298,28.05,4098,374.9,113.76,8.10162E+11,2.86,8196
299,38.08,4250,330.4,78.87,8.91533E+11,3.209,8500
300,24.38,4070,326.9,129.87,8.33646E+11,3.131,8140
301,29.98,4133,348,117.57,1.10157E+12,3.173,8266
302,26.96,4250,361.9,124.04,1.18192E+12,3.267,8500
303,18.47,4097,337.1,97.72,1.02662E+12,3.03,8194
304,29.55,4212,355.9,76.3,9.88087E+11,2.758,8424
305,33.6,4173,363.1,87.64,9.04076E+11,3.099,8346
306,27.11,4106,369.1,91.41,1.03862E+12,2.699,8212
307,27.58,4239,374.7,95.65,8.57273E+11,2.838,8478
308,36.36,4337,345,93.46,1.05148E+12,3.268,8674
309,20.5,4210,390.5,106.85,1.17833E+12,2.64,8420
310,19.01,4245,363.1,82.32,9.34498E+11,3.078,8490
311,24.08,4164,348.1,166.38,8.8554E+11,2.819,8328
312,20.82,4262,386.6,91.24,1.14524E+12,3.109,8524
313,36.08,4291,345.4,109.87,9.918E+11,3.012,8582
314,29.86,4299,326.3,108.55,9.23948E+11,3.392,8598
315,22.82,4241,364.4,99.05,1.02742E+12,3.125,8482
316,24.31,4271,313.8,84.86,1.07429E+12,3.175,8542
317,45.17,4262,340,136.79,1.00826E+12,3.446,8524
318,24.34,4222,357,89.79,1.01658E+12,2.915,8444
319,23.43,4147,367.7,104.69,1.14233E+12,3.287,8294
320,29.83,4093,376.1,83.9,9.60368E+11,3.086,8186
321,31.83,4243,365.5,105.27,7.41248E+11,2.767,8486
322,29.33,4262,364.1,110.06,1.10488E+12,2.911,8524
323,22.55,4257,337.5,84.08,1.35003E+12,3.158,8514
324,21.04,4097,366.1,114.96,7.6181E+11,3.037,8194
325,31.58,4352,344.9,95.34,9.46015E+11,2.838,8704
326,27.67,4266,348.1,72.15,1.01003E+12,3.039,8532
327,18.15,4309,341.2,82.44,9.01766E+11,2.955,8618
328,35.03,4059,391.5,76.06,7.87603E+11,3.032,8118
329,32.65,4200,389.1,74.97,1.03072E+12,2.903,8400
330,26.55,4181,301.2,104.43,1.21359E+12,3.198,8362
331,26.44,4281,345.4,105.07,9.65512E+11,2.623,8562
332,29.39,4168,327.9,87.42,1.31596E+12,2.902,8336
333,23.88,4177,352.7,75.76,1.06692E+12,3.001,8354
334,19.91,4246,387.7,94.44,8.0215E+11,3.379,8492
335,29.94,4139,356.3,110.38,1.09352E+12,3.111,8278
336,19.37,4217,380.8,97.96,9.65672E+11,2.833,8434
337,30.34,4170,334.3,75.63,1.00361E+12,3.018,8340
338,19.35,4300,395.9,108.81,8.5791E+11,3.057,8600
339,27.4,4134,407.6,115.28,1.22142E+12,2.887,8268
340,27.19,4143,358,98.31,1.14709E+12,2.863,8286
341,38.7,4091,280.7,64.02,9.18396E+11,3.241,8182
342,21.61,4110,316.9,95.76,1.0692E+12,3.075,8220
343,19.51,4305,324.7,95.66,1.00501E+12,3.135,8610
344,24.12,4222,377.8,82.27,7.60074E+11,3.02,8444
345,21.26,4222,351.9,72.71,1.24237E+12,3.159,8444
346,24.46,4113,327.4,108.19,9.59574E+11,3.263,8226
347,30.52,4266,371.5,107.56,1.02755E+12,2.796,8532
348,32.63,4304,342.5,85.59,1.04998E+12,3.306,8608
349,37.96,4166,313.7,111.42,9.10735E+11,3.112,8332
350,23.58,4129,303.3,76.91,1.03166E+12,3.234,8258
351,43.83,4232,374.7,80.76,1.01614E+12,3.282,8464
352,39.89,4224,374,67.71,9.66849E+11,2.979,8448
353,26.78,4261,330.4,87.92,9.77386E+11,3.254,8522
354,14.25,4246,325.9,88.77,1.13759E+12,2.696,8492
355,27.5,4061,344.3,116.94,1.13284E+12,2.718,8122
356,28.44,4259,410.4,97.39,9.4594E+11,3.266,8518
357,14.2,4129,363.7,100.54,9.48983E+11,2.913,8258
358,28.44,4224,341.3,70.95,1.00069E+12,3.052,8448
359,26.8,4200,338.5,87.07,1.05872E+12,3.159,8400
360,23.29,4150,370.1,95.76,6.93793E+11,2.566,8300
361,31.76,4305,380.2,112.97,1.13381E+12,2.957,8610
362,34.03,4127,325.4,89.25,1.2757E+12,3.001,8254
363,25.08,4122,342.6,103.56,7.95824E+11,3.117,8244
364,29.38,4104,355.7,111.22,8.40621E+11,3.128,8208
365,24.07,4221,353.7,84.79,9.75108E+11,2.936,8442
366,23.28,4072,357.9,88.24,9.05325E+11,3.188,8144
367,28.48,4205,350.1,70.84,1.05444E+12,3.003,8410
368,31.14,4056,399.7,83.25,1.04291E+12,3.07,8112
369,24.62,4214,341.8,90.81,8.26658E+11,2.821,8428
370,14.72,4226,380.6,94.21,1.17165E+12,3.022,8452
371,31.51,4099,343.2,129.44,1.09177E+12,2.657,8198
372,18.42,4106,406.3,99.94,1.03716E+12,2.779,8212
373,28.73,4271,346,106.62,9.73701E+11,3.081,8542
374,38.67,4119,352,106.99,1.21475E+12,3.102,8238
375,27.9,4226,383.3,95.41,1.19432E+12,3.357,8452
376,20.86,4243,334.5,65.09,1.07045E+12,2.792,8486
377,19.23,4309,378.2,105.09,9.22646E+11,2.999,8618
378,35.02,4170,351.3,102.6,1.37028E+12,3.014,8340
379,27.9,4132,352.8,95.78,9.38779E+11,2.914,8264
380,31.24,4187,331.8,88.22,9.98529E+11,2.907,8374
381,33.56,4202,367.5,84.2,1.37944E+12,3.075,8404
382,27.71,4239,339.8,104.7,1.08377E+12,3.026,8478
383,26.15,4090,358.1,96.52,1.21768E+12,2.883,8180
384,22.32,4268,350.4,79.33,6.42512E+11,2.908,8536
385,9.5,4300,360.8,71.02,1.10898E+12,2.86,8600
386,18.89,4149,350.5,105.37,8.42738E+11,3.1,8298
387,27.58,4179,384,81.48,8.39474E+11,3.085,8358
388,26.95,4241,324.6,83.01,1.0127E+12,3.144,8482
389,30.42,4263,354.9,103.58,1.19542E+12,2.909,8526
390,27.24,4111,383.2,74.36,1.02064E+12,2.669,8222
391,28.96,4215,373.8,71.99,9.52884E+11,3.015,8430
392,32.73,4266,381.4,95.75,8.03144E+11,2.74,8532
393,22.69,4216,330.3,79.73,1.03963E+12,3.204,8432
394,26.28,4263,391.4,117.29,1.01731E+12,2.999,8526
395,18.36,4153,342.1,82.31,1.12744E+12,3.233,8306
396,33.84,4195,355.9,77.67,9.9973E+11,2.981,8390
397,28.23,4324,337.4,109.38,1.15341E+12,2.823,8648
398,30.94,4154,375.3,100.77,9.57141E+11,2.807,8308
399,37.25,4166,376.7,102.64,1.09805E+12,2.994,8332
400,34.48,4129,313.2,114.07,1.14821E+12,2.692,8258
401,27.64,4097,297,102.94,9.15299E+11,2.934,8194
402,32.73,4266,374.2,99.63,1.00368E+12,2.819,8532
403,19.41,4344,342.3,81.54,1.1207E+12,3.257,8688
404,30.6,4134,374.7,104.38,9.12608E+11,3.064,8268
405,28.83,4188,361,87.25,1.31528E+12,3.262,8376
406,18.29,4082,355.6,144.36,1.01409E+12,3.19,8164
407,36.02,4277,349.8,131.31,8.78017E+11,3.066,8554
408,23.78,4291,321.9,125.55,8.5955E+11,2.996,8582
409,32.1,4186,339.3,86.96,1.16935E+12,3.084,8372
410,25.48,4172,368.7,91.71,1.1649E+12,2.899,8344
411,33.96,4083,369.6,72.47,8.81189E+11,3.083,8166
412,35.87,4140,387.8,103.36,1.00263E+12,2.827,8280
413,23.02,4177,349,93.36,8.70955E+11,2.791,8354
414,18.82,4228,348.9,92.84,7.86881E+11,3.143,8456
415,27.21,4281,362.8,85.43,1.02709E+12,3.049,8562
416,33.09,4237,294.2,62.31,1.14701E+12,2.923,8474
417,25.77,4181,384.6,97.28,1.25975E+12,3.163,8362
418,24.32,4155,347.2,97.15,8.55402E+11,3.041,8310
419,30.93,4210,353,106.74,1.02165E+12,2.848,8420
420,11.43,4161,358.8,83.07,1.04686E+12,2.542,8322
421,24.01,4111,327.8,109.66,1.14003E+12,3.313,8222
422,19.7,4141,367.4,140.22,8.73281E+11,2.882,8282
423,29.77,4153,330.8,125.18,1.13341E+12,2.777,8306
424,23.58,4310,284.3,85.07,8.7836E+11,3.11,8620
425,21.31,4246,372.4,73.57,1.05457E+12,2.733,8492
426,25.88,4126,414.4,95.53,1.02136E+12,2.802,8252
427,19.19,4224,371.9,108.83,9.74476E+11,2.845,8448
428,27.92,4170,370.6,83.21,1.16583E+12,2.946,8340
429,23.91,4206,354.2,115.28,7.73622E+11,2.845,8412
430,25.74,4179,410.3,150.36,1.10866E+12,3.308,8358
431,23.7,4209,395.4,107.48,1.01862E+12,3.08,8418
432,33.47,4191,342.1,112.46,1.04104E+12,3.154,8382
433,27.35,4173,353,96.83,7.57625E+11,2.861,8346
434,31.15,4275,327.7,86.81,1.06948E+12,3.116,8550
435,30.88,4218,356.3,73,8.31192E+11,2.782,8436
